Sequence Name;mcg;gvh;lip;chg;aac;alm1;alm2;Class
AAT_ECOLI;49;29;48;5;56;24;35;cp
ACEA_ECOLI;7;4;48;5;54;35;44;cp
ACEK_ECOLI;56;4;48;5;49;37;46;cp
ACKA_ECOLI;59;49;48;5;52;45;36;cp
ADI_ECOLI;23;32;48;5;55;25;35;cp
ALKH_ECOLI;67;39;48;5;36;38;46;cp
AMPD_ECOLI;29;28;48;5;44;23;34;cp
AMY2_ECOLI;21;34;48;5;51;28;39;cp
APT_ECOLI;2;44;48;5;46;51;57;cp
ARAC_ECOLI;42;4;48;5;56;18;3;cp
ASG1_ECOLI;42;24;48;5;57;27;37;cp
BTUR_ECOLI;25;48;48;5;44;17;29;cp
CAFA_ECOLI;39;32;48;5;46;24;35;cp
CAIB_ECOLI;51;5;48;5;46;32;35;cp
CFA_ECOLI;22;43;48;5;48;16;28;cp
CHEA_ECOLI;25;4;48;5;46;44;52;cp
CHEB_ECOLI;34;45;48;5;38;24;35;cp
CHEW_ECOLI;44;27;48;5;55;52;58;cp
CHEY_ECOLI;23;4;48;5;39;28;38;cp
CHEZ_ECOLI;41;57;48;5;39;21;32;cp
CRL_ECOLI;4;45;48;5;38;22;0;cp
CSPA_ECOLI;31;23;48;5;73;5;14;cp
CYNR_ECOLI;51;54;48;5;41;34;43;cp
CYPB_ECOLI;3;16;48;5;56;11;23;cp
CYPC_ECOLI;36;39;48;5;48;22;23;cp
CYSB_ECOLI;29;37;48;5;48;44;52;cp
CYSE_ECOLI;25;4;48;5;47;33;42;cp
DAPD_ECOLI;21;51;48;5;5;32;41;cp
DCP_ECOLI;43;37;48;5;53;35;44;cp
DDLA_ECOLI;43;39;48;5;47;31;41;cp
DDLB_ECOLI;53;38;48;5;44;26;36;cp
DEOC_ECOLI;34;33;48;5;38;35;44;cp
DLDH_ECOLI;56;51;48;5;34;37;46;cp
EFG_ECOLI;4;29;48;5;42;35;44;cp
EFTS_ECOLI;24;35;48;5;31;19;31;cp
EFTU_ECOLI;36;54;48;5;41;38;46;cp
ENO_ECOLI;29;52;48;5;42;29;39;cp
FABB_ECOLI;65;47;48;5;59;3;4;cp
FES_ECOLI;32;42;48;5;35;28;38;cp
G3P1_ECOLI;38;46;48;5;48;22;29;cp
G3P2_ECOLI;33;45;48;5;52;32;41;cp
G6PI_ECOLI;3;37;48;5;59;41;49;cp
GCVA_ECOLI;4;5;48;5;45;39;47;cp
GLNA_ECOLI;28;38;48;5;5;33;42;cp
GLPD_ECOLI;61;45;48;5;48;35;41;cp
GLYA_ECOLI;17;38;48;5;45;42;5;cp
GSHR_ECOLI;44;35;48;5;55;55;61;cp
GT_ECOLI;43;4;48;5;39;28;39;cp
HEM6_ECOLI;42;35;48;5;58;15;27;cp
HEMN_ECOLI;23;33;48;5;43;33;43;cp
HPRT_ECOLI;37;52;48;5;42;42;36;cp
IF1_ECOLI;29;3;48;5;45;3;17;cp
IF2_ECOLI;22;36;48;5;35;39;47;cp
ILVY_ECOLI;23;58;48;5;37;53;59;cp
IPYR_ECOLI;47;47;48;5;22;16;26;cp
KAD_ECOLI;54;47;48;5;28;33;42;cp
KDSA_ECOLI;51;37;48;5;35;36;45;cp
LEU3_ECOLI;4;35;48;5;45;33;42;cp
LON_ECOLI;44;34;48;5;3;33;43;cp
LPLA_ECOLI;42;38;48;5;54;34;43;cp
LYSR_ECOLI;44;56;48;5;5;46;54;cp
MALQ_ECOLI;52;36;48;5;41;28;38;cp
MALZ_ECOLI;36;41;48;5;48;47;54;cp
MASY_ECOLI;18;3;48;5;46;24;35;cp
METB_ECOLI;47;29;48;5;51;33;43;cp
METC_ECOLI;24;43;48;5;54;52;59;cp
METK_ECOLI;25;37;48;5;41;33;42;cp
METR_ECOLI;52;57;48;5;42;47;54;cp
METX_ECOLI;25;37;48;5;43;26;36;cp
MURF_ECOLI;35;48;48;5;56;4;48;cp
NADA_ECOLI;26;26;48;5;34;25;35;cp
NFRC_ECOLI;44;51;48;5;47;26;36;cp
NHAR_ECOLI;37;5;48;5;42;36;45;cp
NIRD_ECOLI;44;42;48;5;42;25;2;cp
OMPR_ECOLI;24;43;48;5;37;28;38;cp
OTC1_ECOLI;42;3;48;5;48;26;36;cp
OTC2_ECOLI;48;42;48;5;45;25;35;cp
PEPE_ECOLI;41;48;48;5;51;44;51;cp
PFLA_ECOLI;44;28;48;5;43;27;37;cp
PFLB_ECOLI;29;41;48;5;48;38;46;cp
PGK_ECOLI;34;28;48;5;41;35;44;cp
PHOB_ECOLI;41;43;48;5;45;31;41;cp
PHOH_ECOLI;29;47;48;5;41;23;34;cp
PMBA_ECOLI;34;55;48;5;58;31;41;cp
PNP_ECOLI;36;56;48;5;43;45;53;cp
PROB_ECOLI;4;46;48;5;52;49;56;cp
PT1A_ECOLI;5;49;48;5;49;46;53;cp
PT1_ECOLI;52;44;48;5;37;36;42;cp
PTCA_ECOLI;5;51;48;5;27;23;34;cp
PTCB_ECOLI;53;42;48;5;16;29;39;cp
PTFA_ECOLI;34;46;48;5;52;35;44;cp
PTGA_ECOLI;4;42;48;5;37;27;27;cp
PTHA_ECOLI;41;43;48;5;5;24;25;cp
PTHP_ECOLI;3;45;48;5;36;21;32;cp
PTKA_ECOLI;31;47;48;5;29;28;39;cp
PTKB_ECOLI;64;76;48;5;45;35;38;cp
PTNA_ECOLI;35;37;48;5;3;34;43;cp
PTWB_ECOLI;57;54;48;5;37;28;33;cp
PTWX_ECOLI;65;55;48;5;34;37;28;cp
RHAR_ECOLI;51;46;48;5;58;31;41;cp
RHAS_ECOLI;38;4;48;5;63;25;35;cp
RIMI_ECOLI;24;57;48;5;63;34;43;cp
RIMJ_ECOLI;38;26;48;5;54;16;28;cp
RIML_ECOLI;33;47;48;5;53;18;29;cp
RNB_ECOLI;24;34;48;5;38;3;4;cp
RNC_ECOLI;26;5;48;5;44;32;41;cp
RND_ECOLI;44;49;48;5;39;38;4;cp
RNE_ECOLI;43;32;48;5;33;45;52;cp
SERC_ECOLI;49;43;48;5;49;3;4;cp
SLYD_ECOLI;47;28;48;5;56;2;25;cp
SOXS_ECOLI;32;33;48;5;6;6;2;cp
SYA_ECOLI;34;35;48;5;51;49;56;cp
SYC_ECOLI;35;34;48;5;46;3;27;cp
SYD_ECOLI;38;3;48;5;43;29;39;cp
SYE_ECOLI;38;44;48;5;43;2;31;cp
SYFA_ECOLI;41;51;48;5;58;2;31;cp
SYFB_ECOLI;34;42;48;5;41;34;43;cp
SYGA_ECOLI;51;49;48;5;53;14;26;cp
SYGB_ECOLI;25;51;48;5;37;42;5;cp
SYH_ECOLI;29;28;48;5;5;42;5;cp
SYI_ECOLI;25;26;48;5;39;32;42;cp
SYK1_ECOLI;24;41;48;5;49;23;34;cp
SYK2_ECOLI;17;39;48;5;53;3;39;cp
SYL_ECOLI;4;31;48;5;41;29;39;cp
SYM_ECOLI;61;36;48;5;49;35;44;cp
SYP_ECOLI;34;51;48;5;44;37;46;cp
SYQ_ECOLI;28;33;48;5;45;22;33;cp
SYR_ECOLI;4;46;48;5;42;35;44;cp
SYS_ECOLI;23;34;48;5;43;26;37;cp
SYT_ECOLI;37;44;48;5;42;39;47;cp
SYV_ECOLI;0;38;48;5;42;48;55;cp
SYW_ECOLI;39;31;48;5;38;34;43;cp
SYY_ECOLI;3;44;48;5;49;22;33;cp
THGA_ECOLI;27;3;48;5;71;28;39;cp
THIK_ECOLI;17;52;48;5;49;37;46;cp
TYRB_ECOLI;36;42;48;5;53;32;41;cp
UBIC_ECOLI;3;37;48;5;43;18;3;cp
UGPQ_ECOLI;26;4;48;5;36;26;37;cp
USPA_ECOLI;4;41;48;5;55;22;33;cp
UVRB_ECOLI;22;34;48;5;42;29;39;cp
UVRC_ECOLI;44;35;48;5;44;52;59;cp
XGPT_ECOLI;27;42;48;5;37;38;43;cp
XYLA_ECOLI;16;43;48;5;54;27;37;cp
EMRA_ECOLI;6;61;48;5;49;92;37;im
AAS_ECOLI;44;52;48;5;43;47;54;im
AMPE_ECOLI;63;47;48;5;51;82;84;im
ARAE_ECOLI;23;48;48;5;59;88;89;im
ARAH_ECOLI;34;49;48;5;58;85;8;im
AROP_ECOLI;43;4;48;5;58;75;78;im
ATKB_ECOLI;46;61;48;5;48;86;87;im
ATP6_ECOLI;27;35;48;5;51;77;79;im
BETT_ECOLI;52;39;48;5;65;71;73;im
CODB_ECOLI;29;47;48;5;71;65;69;im
CYDA_ECOLI;55;47;48;5;57;78;8;im
CYOC_ECOLI;12;67;48;5;74;58;63;im
CYOD_ECOLI;4;5;48;5;65;82;84;im
DCTA_ECOLI;73;36;48;5;53;91;92;im
DHG_ECOLI;84;44;48;5;48;71;74;im
DHSC_ECOLI;48;45;48;5;6;78;8;im
DHSD_ECOLI;54;49;48;5;4;87;88;im
DPPC_ECOLI;48;41;48;5;51;9;88;im
DSBB_ECOLI;5;66;48;5;31;92;92;im
ENVZ_ECOLI;72;46;48;5;51;66;7;im
EXBB_ECOLI;47;55;48;5;58;71;75;im
FRDC_ECOLI;33;56;48;5;33;78;8;im
FRDD_ECOLI;64;58;48;5;48;78;73;im
FTSW_ECOLI;54;57;48;5;56;81;83;im
GABP_ECOLI;47;59;48;5;52;76;79;im
GALP_ECOLI;63;5;48;5;59;85;86;im
GLNP_ECOLI;49;42;48;5;53;79;81;im
GLPT_ECOLI;31;5;48;5;57;84;85;im
GLTP_ECOLI;74;44;48;5;55;88;89;im
KDGL_ECOLI;33;45;48;5;45;88;89;im
KGTP_ECOLI;45;4;48;5;61;74;77;im
LACY_ECOLI;71;4;48;5;71;7;74;im
LGT_ECOLI;5;37;48;5;66;64;69;im
LLDP_ECOLI;66;53;48;5;59;66;66;im
LNT_ECOLI;6;61;48;5;54;67;71;im
LSPA_ECOLI;83;37;48;5;61;71;74;im
LYSP_ECOLI;34;51;48;5;67;9;9;im
MALF_ECOLI;63;54;48;5;65;79;81;im
MALG_ECOLI;7;4;48;5;56;86;83;im
MCP3_ECOLI;6;5;1;5;54;77;8;im
MSBB_ECOLI;16;51;48;5;33;39;48;im
MTR_ECOLI;74;7;48;5;66;65;69;im
NANT_ECOLI;2;46;48;5;57;78;81;im
NHAA_ECOLI;89;55;48;5;51;72;76;im
NHAB_ECOLI;7;46;48;5;56;78;73;im
PHEP_ECOLI;12;43;48;5;63;7;74;im
PHOR_ECOLI;61;52;48;5;54;67;52;im
PNTA_ECOLI;33;37;48;5;46;65;69;im
POTE_ECOLI;63;65;48;5;66;67;71;im
PROP_ECOLI;41;51;48;5;53;75;78;im
PSTA_ECOLI;34;67;48;5;52;76;79;im
PSTC_ECOLI;58;34;48;5;56;87;81;im
PTAA_ECOLI;59;56;48;5;55;8;82;im
PTBA_ECOLI;51;4;48;5;57;62;67;im
PTCC_ECOLI;5;57;48;5;71;61;66;im
PTDA_ECOLI;6;46;48;5;45;81;83;im
PTFB_ECOLI;37;47;48;5;39;76;79;im
PTGB_ECOLI;58;55;48;5;57;7;74;im
PTHB_ECOLI;36;47;48;5;51;69;72;im
PTMA_ECOLI;39;41;48;5;52;72;75;im
PTOA_ECOLI;35;51;48;5;61;71;74;im
PTTB_ECOLI;31;44;48;5;5;79;82;im
RODA_ECOLI;61;66;48;5;46;87;88;im
SECE_ECOLI;48;49;48;5;52;77;71;im
SECF_ECOLI;11;5;48;5;58;72;68;im
SECY_ECOLI;31;36;48;5;58;94;94;im
TNAB_ECOLI;68;51;48;5;71;75;78;im
XYLE_ECOLI;69;39;48;5;57;76;79;im
YCEE_ECOLI;52;54;48;5;62;76;79;im
EXBD_ECOLI;46;59;48;5;36;76;23;im
FTSL_ECOLI;36;45;48;5;38;79;17;im
FTSN_ECOLI;0;51;48;5;35;67;44;im
FTSQ_ECOLI;1;49;48;5;41;67;21;im
MOTB_ECOLI;3;51;48;5;42;61;34;im
TOLA_ECOLI;61;47;48;5;0;8;32;im
TOLQ_ECOLI;63;75;48;5;64;73;66;im
EMRB_ECOLI;71;52;48;5;64;1;99;im
ATKC_ECOLI;85;53;48;5;53;52;35;imS
NFRB_ECOLI;63;49;48;5;54;76;79;imS
NLPA_ECOLI;75;55;1;1;4;47;3;imL
CYOA_ECOLI;7;39;1;5;51;82;84;imL
ATKA_ECOLI;72;42;48;5;65;77;79;imU
BCR_ECOLI;79;41;48;5;66;81;83;imU
CADB_ECOLI;83;48;48;5;65;76;79;imU
CAIT_ECOLI;69;43;48;5;59;74;77;imU
CPXA_ECOLI;79;36;48;5;46;82;7;imU
CRED_ECOLI;78;33;48;5;57;77;79;imU
CYDB_ECOLI;75;37;48;5;64;7;74;imU
CYOB_ECOLI;59;29;48;5;64;75;77;imU
CYOE_ECOLI;67;37;48;5;54;64;68;imU
DMSC_ECOLI;66;48;48;5;54;7;74;imU
DPPB_ECOLI;64;46;48;5;48;73;76;imU
DSBD_ECOLI;76;71;48;5;5;71;75;imU
FEPD_ECOLI;84;49;48;5;55;78;74;imU
FEPG_ECOLI;77;55;48;5;51;78;74;imU
FTSH_ECOLI;81;44;48;5;42;67;68;imU
GLTS_ECOLI;58;6;48;5;59;73;76;imU
KEFC_ECOLI;63;42;48;5;48;77;8;imU
KUP_ECOLI;62;42;48;5;58;79;81;imU
MCP1_ECOLI;86;39;48;5;59;89;9;imU
MCP2_ECOLI;81;53;48;5;57;87;88;imU
MCP4_ECOLI;87;49;48;5;61;76;79;imU
MELB_ECOLI;47;46;48;5;62;74;77;imU
MOTA_ECOLI;76;41;48;5;5;59;62;imU
NUPC_ECOLI;7;53;48;5;7;86;87;imU
NUPG_ECOLI;64;45;48;5;67;61;66;imU
PNTB_ECOLI;81;52;48;5;57;78;8;imU
PTKC_ECOLI;73;26;48;5;57;75;78;imU
RHAT_ECOLI;49;61;1;5;56;71;74;imU
SECD_ECOLI;88;42;48;5;52;73;75;imU
SECG_ECOLI;84;54;48;5;75;92;7;imU
TEHA_ECOLI;63;51;48;5;64;72;76;imU
TYRP_ECOLI;86;55;48;5;63;81;83;imU
UHPB_ECOLI;79;54;48;5;5;66;68;imU
TONB_ECOLI;57;38;48;5;6;49;33;imU
LEP_ECOLI;78;44;48;5;45;73;68;imU
FADL_ECOLI;78;68;48;5;83;4;29;om
FHUA_ECOLI;63;69;48;5;65;41;28;om
LAMB_ECOLI;67;88;48;5;73;5;25;om
NFRA_ECOLI;61;75;48;5;51;33;33;om
NMPC_ECOLI;67;84;48;5;74;54;37;om
OMPA_ECOLI;74;9;48;5;57;53;29;om
OMPC_ECOLI;73;84;48;5;86;58;29;om
OMPF_ECOLI;75;76;48;5;83;57;3;om
OMPX_ECOLI;77;57;48;5;88;53;2;om
PHOE_ECOLI;74;78;48;5;75;54;15;om
TSX_ECOLI;68;76;48;5;84;45;27;om
BTUB_ECOLI;56;68;48;5;77;36;45;om
CIRA_ECOLI;65;51;48;5;66;54;33;om
FECA_ECOLI;52;81;48;5;72;38;38;om
FEPA_ECOLI;64;57;48;5;7;33;26;om
FHUE_ECOLI;6;76;1;5;77;59;52;om
OMPP_ECOLI;69;59;48;5;77;39;21;om
OMPT_ECOLI;63;49;48;5;79;45;28;om
TOLC_ECOLI;71;71;48;5;68;43;36;om
PA1_ECOLI;68;63;48;5;73;4;3;om
MULI_ECOLI;77;57;1;5;37;54;1;omL
NLPB_ECOLI;66;49;1;5;54;56;36;omL
NLPE_ECOLI;71;46;1;5;52;59;3;omL
PAL_ECOLI;67;55;1;5;66;58;16;omL
SLP_ECOLI;68;49;1;5;62;55;28;omL
AGP_ECOLI;74;49;48;5;42;54;36;pp
AMY1_ECOLI;7;61;48;5;56;52;43;pp
ARAF_ECOLI;66;86;48;5;34;41;36;pp
ASG2_ECOLI;73;78;48;5;58;51;31;pp
BGLX_ECOLI;65;57;48;5;47;47;51;pp
C562_ECOLI;72;86;48;5;17;55;21;pp
CN16_ECOLI;67;7;48;5;46;45;33;pp
CYPH_ECOLI;67;81;48;5;54;49;23;pp
CYSP_ECOLI;67;61;48;5;51;37;38;pp
DGAL_ECOLI;63;1;48;5;35;51;49;pp
DPPA_ECOLI;57;59;48;5;39;47;33;pp
DSBA_ECOLI;71;71;48;5;4;54;39;pp
DSBC_ECOLI;66;74;48;5;31;38;43;pp
ECOT_ECOLI;67;81;48;5;25;42;25;pp
ECPD_ECOLI;64;72;48;5;49;42;19;pp
FECB_ECOLI;68;82;48;5;38;65;56;pp
FECR_ECOLI;32;39;48;5;53;28;38;pp
FEPB_ECOLI;7;64;48;5;47;51;47;pp
FIMC_ECOLI;63;57;48;5;49;7;2;pp
GGT_ECOLI;74;82;48;5;49;49;41;pp
GLNH_ECOLI;63;86;48;5;39;47;34;pp
GLPQ_ECOLI;63;83;48;5;4;39;19;pp
HTRA_ECOLI;63;71;48;5;6;4;39;pp
LIVJ_ECOLI;71;86;48;5;4;54;32;pp
LIVK_ECOLI;68;78;48;5;43;44;42;pp
MALE_ECOLI;64;84;48;5;37;45;4;pp
MALM_ECOLI;74;47;48;5;5;57;42;pp
MEPA_ECOLI;75;84;48;5;35;52;33;pp
MODA_ECOLI;63;65;48;5;39;44;35;pp
NRFA_ECOLI;69;67;48;5;3;39;24;pp
NRFF_ECOLI;7;71;48;5;42;84;85;pp
OPPA_ECOLI;69;8;48;5;46;57;26;pp
OSMY_ECOLI;64;66;48;5;41;39;2;pp
POTD_ECOLI;63;8;48;5;46;31;29;pp
POTF_ECOLI;66;71;48;5;41;5;35;pp
PPA_ECOLI;69;59;48;5;46;44;52;pp
PPB_ECOLI;68;67;48;5;49;4;34;pp
PROX_ECOLI;64;78;48;5;5;36;38;pp
PSTS_ECOLI;62;78;48;5;47;49;54;pp
PTR_ECOLI;76;73;48;5;44;39;39;pp
RBSB_ECOLI;64;81;48;5;37;39;44;pp
SPEA_ECOLI;29;39;48;5;52;4;48;pp
SUBI_ECOLI;62;83;48;5;46;36;4;pp
TBPA_ECOLI;56;54;48;5;43;37;3;pp
TESA_ECOLI;69;66;48;5;41;5;25;pp
TOLB_ECOLI;69;65;48;5;63;48;41;pp
TORA_ECOLI;43;59;48;5;52;49;56;pp
TREA_ECOLI;74;56;48;5;47;68;3;pp
UGPB_ECOLI;71;57;48;5;48;35;32;pp
USHA_ECOLI;61;6;48;5;44;39;38;pp
XYLF_ECOLI;59;61;48;5;42;42;37;pp
YTFQ_ECOLI;74;74;48;5;31;53;52;pp
